generation,best_fitness
0,52.188255310058594
1,49.27303695678711
2,48.110050201416016
3,47.499114990234375
4,44.625633239746094
5,44.13436508178711
6,43.0953254699707
7,42.049930572509766
8,40.23154067993164
9,40.16773986816406
10,39.313838958740234
11,38.35891342163086
12,37.03178405761719
13,35.821250915527344
14,34.5966682434082
15,34.1741828918457
16,33.86565399169922
17,32.22690963745117
18,30.98759651184082
19,30.462928771972656
20,30.344812393188477
21,29.438379287719727
22,29.299901962280273
23,29.04387855529785
24,28.652650833129883
25,28.4887638092041
26,27.247995376586914
27,27.26835823059082
28,27.158185958862305
29,26.957691192626953
30,26.45387840270996
31,26.156795501708984
32,26.3165283203125
33,26.015504837036133
34,25.51742935180664
35,24.968292236328125
36,25.04077911376953
37,25.115140914916992
38,25.124271392822266
39,24.48476791381836
40,24.28736686706543
41,24.246505737304688
42,23.97346305847168
43,23.845958709716797
44,23.659225463867188
45,24.019832611083984
46,23.595579147338867
47,23.590904235839844
48,23.477294921875
49,22.9948673248291
50,23.30340003967285
51,23.01542091369629
52,22.979816436767578
53,22.865625381469727
54,22.944766998291016
55,22.928754806518555
56,22.771366119384766
57,22.976566314697266
58,22.57347869873047
59,22.41357421875
60,22.248592376708984
61,22.309158325195312
62,22.327388763427734
63,22.395889282226562
64,21.679502487182617
65,21.676612854003906
66,21.659894943237305
67,21.27638816833496
68,21.577238082885742
69,20.827356338500977
70,20.44613265991211
71,20.570627212524414
72,20.40715789794922
73,20.54463768005371
74,20.238309860229492
75,20.299959182739258
76,19.995174407958984
77,20.339067459106445
78,20.330379486083984
79,20.111143112182617
80,20.1322078704834
81,19.939090728759766
82,19.912181854248047
83,20.13808250427246
84,19.943344116210938
85,19.909666061401367
86,19.69334602355957
87,19.880056381225586
88,19.60352897644043
89,19.435945510864258
90,19.626819610595703
91,19.088136672973633
92,19.452306747436523
93,19.436296463012695
94,19.092588424682617
95,19.3492374420166
96,19.28544807434082
97,19.56467056274414
98,19.822240829467773
99,19.71257209777832
100,19.707046508789062
101,19.589082717895508
102,19.354907989501953
103,19.27077293395996
104,19.3569393157959
105,19.60977554321289
106,19.472370147705078
107,19.45502471923828
108,19.294992446899414
109,19.162351608276367
110,18.877307891845703
111,19.09358787536621
112,19.264232635498047
113,19.049449920654297
114,19.15947914123535
115,19.0936336517334
116,19.232500076293945
117,19.134775161743164
118,19.09485626220703
119,19.32491111755371
120,19.0767765045166
121,18.914026260375977
122,19.043790817260742
123,19.224802017211914
124,19.224388122558594
125,19.48162078857422
126,19.248390197753906
127,19.438644409179688
128,19.34418296813965
129,19.348787307739258
130,19.358488082885742
131,19.295799255371094
132,19.356142044067383
133,19.487857818603516
134,19.45513343811035
135,19.550399780273438
136,19.238433837890625
137,19.376832962036133
138,19.254112243652344
139,19.5195369720459
140,19.509824752807617
141,19.22882080078125
142,19.28351593017578
143,19.25533676147461
144,19.63231086730957
145,19.51307487487793
146,19.537534713745117
147,19.6776123046875
148,19.694459915161133
149,19.729860305786133
150,19.740707397460938
151,19.77643394470215
152,19.714601516723633
153,19.929840087890625
154,19.330263137817383
155,19.4627742767334
156,19.76601791381836
157,19.729263305664062
158,19.459917068481445
159,19.434492111206055
160,19.412609100341797
161,19.193702697753906
162,18.962141036987305
163,19.020769119262695
164,19.115116119384766
165,18.930879592895508
166,19.035232543945312
167,19.179479598999023
168,19.17057991027832
169,19.346281051635742
170,19.075138092041016
171,19.21299934387207
172,19.27435874938965
173,19.277637481689453
174,18.75052833557129
175,19.09128761291504
176,19.284643173217773
177,19.101953506469727
178,19.00516700744629
179,18.970027923583984
180,19.0643367767334
181,18.885757446289062
182,18.988784790039062
183,18.90435028076172
184,19.09923553466797
185,18.944580078125
186,19.076129913330078
187,18.92896842956543
188,19.107391357421875
189,19.02973747253418
190,18.955385208129883
191,19.1164493560791
192,19.148632049560547
193,18.932212829589844
194,18.73404312133789
195,18.73493766784668
196,18.7431583404541
197,18.893901824951172
198,18.685752868652344
199,18.73746109008789
200,18.71991729736328
201,18.57672119140625
202,18.461071014404297
203,18.710037231445312
204,18.607133865356445
205,18.675630569458008
206,18.694976806640625
207,18.71169662475586
208,18.609649658203125
209,18.412662506103516
210,18.627031326293945
211,18.490703582763672
212,18.104366302490234
213,18.215837478637695
214,18.230758666992188
215,18.206741333007812
216,18.133874893188477
217,18.149049758911133
218,18.216167449951172
219,18.190044403076172
220,18.322166442871094
221,18.356487274169922
222,18.438777923583984
223,18.278982162475586
224,18.595394134521484
225,18.639835357666016
226,18.25574493408203
227,18.433353424072266
228,18.538949966430664
229,18.56962776184082
230,18.444704055786133
231,18.496591567993164
232,18.227638244628906
233,18.22726058959961
234,18.2282657623291
235,18.35451316833496
236,18.270689010620117
237,18.36319923400879
238,18.15941619873047
239,18.104616165161133
240,17.969295501708984
241,18.052978515625
242,18.328187942504883
243,18.368263244628906
244,18.39215850830078
245,18.3308048248291
246,18.044187545776367
247,18.251331329345703
248,18.075468063354492
249,18.19215202331543
250,18.402509689331055
251,18.134532928466797
252,17.962520599365234
253,18.1448917388916
254,18.083084106445312
255,18.03520393371582
256,18.129270553588867
257,18.122657775878906
258,18.096094131469727
259,18.004077911376953
260,18.016651153564453
261,18.137954711914062
262,17.97796058654785
263,17.865825653076172
264,17.868003845214844
265,18.05987548828125
266,17.97011375427246
267,18.023225784301758
268,17.990694046020508
269,17.908578872680664
270,17.73128890991211
271,18.011001586914062
272,18.112607955932617
273,18.085554122924805
274,18.0933837890625
275,18.40595054626465
276,18.480743408203125
277,18.181970596313477
278,17.954816818237305
279,18.086708068847656
280,18.24634552001953
281,18.47825813293457
282,18.402568817138672
283,18.33278465270996
284,18.25688362121582
285,17.87993812561035
286,18.05912208557129
287,18.05927085876465
288,18.177759170532227
289,18.168062210083008
290,18.164913177490234
291,18.531829833984375
292,18.128461837768555
293,18.06850242614746
294,18.089040756225586
295,18.290510177612305
296,18.180971145629883
297,18.151592254638672
298,18.183351516723633
299,18.305110931396484
300,18.246374130249023
301,18.33981704711914
302,18.306833267211914
303,18.073299407958984
304,18.083995819091797
305,18.016029357910156
306,17.98210334777832
