generation,best_fitness
0,12814.59765625
1,12230.3173828125
2,10060.46875
3,10177.630859375
4,9726.6162109375
5,8788.771484375
6,8529.9755859375
7,8288.1689453125
8,7698.38232421875
9,7126.9619140625
10,7078.69140625
11,6932.703125
12,6378.552734375
13,5875.45263671875
14,5402.9091796875
15,5245.3662109375
16,5118.27197265625
17,4898.57861328125
18,4832.3427734375
19,4739.41796875
20,4743.8349609375
21,4641.0068359375
22,4489.06103515625
23,4374.59619140625
24,4380.20849609375
25,4245.81689453125
26,4114.248046875
27,4155.74462890625
28,3957.90185546875
29,3836.062255859375
30,3839.871337890625
31,3779.6962890625
32,3775.280029296875
33,3745.41796875
34,3708.39111328125
35,3684.256591796875
36,3598.0927734375
37,3580.25537109375
38,3503.5458984375
39,3504.386474609375
40,3464.2578125
41,3423.555908203125
42,3364.73779296875
43,3310.82666015625
44,3315.774658203125
45,3209.856689453125
46,3213.207763671875
47,3187.038330078125
48,3061.941650390625
49,3077.7060546875
50,3075.1025390625
51,3024.248779296875
52,3009.504638671875
53,2976.361572265625
54,2966.77197265625
55,2842.8603515625
56,2842.571044921875
57,2861.6083984375
58,2838.422119140625
59,2818.1279296875
60,2849.59130859375
61,2834.015380859375
62,2813.946044921875
63,2781.308349609375
64,2800.687744140625
65,2739.750244140625
66,2762.18603515625
67,2735.898193359375
68,2737.345703125
69,2725.595703125
70,2685.598876953125
71,2657.77392578125
72,2660.2236328125
73,2678.923095703125
74,2614.5078125
75,2618.045166015625
76,2587.683837890625
77,2581.90869140625
78,2555.76220703125
79,2472.281005859375
80,2490.53271484375
81,2460.79833984375
82,2481.371337890625
83,2485.06201171875
84,2430.212158203125
85,2462.4306640625
86,2414.31005859375
87,2400.998291015625
88,2403.680419921875
89,2386.7470703125
90,2363.994140625
91,2292.059326171875
92,2284.220947265625
93,2280.059326171875
94,2280.152587890625
95,2300.620361328125
96,2278.942138671875
97,2277.829345703125
98,2282.203125
99,2176.15283203125
100,2198.39892578125
101,2245.254150390625
102,2251.3486328125
103,2208.66943359375
104,2248.0078125
105,2252.44580078125
106,2231.799560546875
107,2224.865478515625
108,2222.400634765625
109,2176.47509765625
110,2190.5654296875
111,2199.62548828125
112,2188.197265625
113,2175.39794921875
114,2149.99755859375
115,2118.41552734375
116,2149.0341796875
117,2131.37255859375
118,2144.8193359375
119,2115.916015625
120,2078.99560546875
121,2122.822998046875
122,2090.1064453125
123,2095.880859375
124,2141.986083984375
125,2050.641845703125
126,2133.401123046875
127,2137.10302734375
128,2120.148193359375
129,2125.261474609375
130,2126.212646484375
131,2124.3818359375
132,2152.994384765625
133,2141.33056640625
134,2091.13623046875
135,2105.12451171875
136,2090.971923828125
137,2096.70068359375
138,2107.707275390625
139,2113.710205078125
140,2092.00927734375
141,2137.527587890625
142,2092.120849609375
143,2090.171142578125
144,2077.741943359375
145,2015.4254150390625
146,2017.0357666015625
147,2018.6588134765625
148,2012.51611328125
149,2021.3206787109375
150,2026.545654296875
151,2004.6405029296875
152,2022.6143798828125
153,2004.0311279296875
154,2007.88427734375
155,2004.548583984375
156,1985.944580078125
157,1994.0023193359375
158,1994.705810546875
159,2004.056396484375
160,1995.2333984375
161,1982.4810791015625
162,1947.2337646484375
163,1966.2994384765625
164,1976.0191650390625
165,1969.8023681640625
166,1967.979736328125
167,1966.41455078125
168,1953.0545654296875
169,1983.3642578125
170,2003.3150634765625
171,1992.79150390625
172,1975.0533447265625
173,1990.0145263671875
174,1969.65380859375
175,1969.656494140625
176,1947.9093017578125
177,1937.4517822265625
178,1962.991943359375
179,1962.5325927734375
180,1971.80322265625
181,1977.473388671875
182,1937.3841552734375
183,1909.9700927734375
184,1948.146484375
185,1955.5306396484375
186,1941.3253173828125
187,1941.870361328125
188,1922.2423095703125
189,1918.0277099609375
190,1950.5496826171875
191,1937.46875
192,1973.8177490234375
193,1950.6163330078125
194,1949.8001708984375
195,1923.086181640625
196,1925.8988037109375
197,1911.64306640625
198,1908.773681640625
199,1909.996826171875
200,1878.0479736328125
201,1878.4429931640625
202,1883.1175537109375
203,1879.198974609375
204,1858.276123046875
205,1868.8045654296875
206,1846.3408203125
207,1879.4664306640625
208,1848.5482177734375
209,1884.7139892578125
210,1817.9891357421875
211,1840.8309326171875
212,1854.79736328125
213,1855.4464111328125
214,1841.7564697265625
215,1823.0982666015625
216,1816.7891845703125
217,1816.2236328125
218,1845.726806640625
219,1814.9017333984375
220,1832.302978515625
221,1862.823486328125
222,1827.718017578125
223,1853.396484375
224,1872.08251953125
225,1863.7164306640625
226,1840.27587890625
227,1831.0655517578125
228,1844.26025390625
229,1830.6983642578125
230,1825.8846435546875
231,1822.1484375
232,1859.9736328125
233,1804.63330078125
234,1875.3575439453125
235,1863.086181640625
236,1813.582275390625
237,1831.72265625
238,1823.6929931640625
239,1845.8065185546875
240,1809.53564453125
241,1814.3125
242,1832.515869140625
243,1836.8570556640625
244,1825.474365234375
245,1836.548583984375
246,1820.4327392578125
247,1825.12548828125
248,1795.2095947265625
249,1813.4605712890625
250,1821.361083984375
251,1774.950439453125
252,1788.049072265625
253,1779.770263671875
254,1796.1312255859375
255,1787.8232421875
256,1741.9267578125
257,1770.79541015625
258,1766.0684814453125
259,1776.898193359375
260,1784.3536376953125
261,1786.8551025390625
262,1788.174072265625
263,1810.9268798828125
264,1758.1619873046875
265,1765.2921142578125
266,1784.8853759765625
267,1761.364990234375
268,1764.6275634765625
269,1781.548583984375
270,1784.4586181640625
271,1764.8133544921875
272,1759.11181640625
273,1782.32763671875
274,1762.373291015625
275,1762.2337646484375
276,1807.108642578125
277,1764.2540283203125
278,1751.6451416015625
279,1768.733154296875
280,1749.9930419921875
281,1748.6715087890625
282,1750.783447265625
283,1757.794189453125
284,1758.5465087890625
285,1765.0506591796875
286,1782.0587158203125
287,1738.0782470703125
288,1717.4161376953125
289,1715.1185302734375
290,1697.0638427734375
291,1696.2677001953125
292,1707.0499267578125
293,1708.336669921875
294,1724.30419921875
