generation,best_fitness,avg_fitness,phenotypic_entropy,genotypic_entropy,fitness_variance,genotypic_variance
0,113.20171356201172,125.32585472106933,0.9072285092005121,0.9891794401354739,19.79680789322855,7846.825905580518
1,110.22457885742188,119.97427062988281,0.897422235095278,0.9390617221984738,15.144007695170588,7724.597479001232
2,106.50234985351562,115.70405326843262,0.9073524934715372,0.8734304480849489,15.315122041426429,7325.882798053746
3,101.39451599121094,111.43429382324219,0.8222004537715427,0.8076869495879676,15.0244312905801,6714.173027087066
4,98.58383178710938,107.6926244354248,0.898680864432095,0.7810972310637684,17.182013000774962,6254.839603243728
5,95.09185791015625,103.54692527770996,0.8887021031851187,0.76051822560045,12.347646518119257,6019.58723483604
6,91.99542236328125,100.0389136505127,0.9058953386280336,0.7376950496663848,16.121893675478052,5711.792657774067
7,88.23713684082031,96.10612289428711,0.8819896704929439,0.6773924432067765,9.199993397825887,5250.685314469582
8,87.30274963378906,93.22536544799804,0.8673435714661152,0.663566759135841,7.540201716246665,4898.128594218938
9,85.02240753173828,90.02619483947754,0.8896312891679845,0.638143862382143,6.23028913985134,4489.152167561242
10,83.52398681640625,87.86427299499512,0.9307591091966392,0.6049623068618433,5.074873971728951,4149.114886804152
11,81.26150512695312,85.69399215698242,0.8623595703712005,0.5776352480165837,3.0514648043932624,3808.179151345455
12,81.26150512695312,83.6887181854248,0.8839548639969437,0.5651040207875808,2.181573117731669,3411.4905173105917
13,79.86894989013672,82.5621435546875,0.8966477035665836,0.5367013530576259,1.7789240860276387,3053.693222409211
14,78.67683410644531,81.2763436126709,0.9500275845908269,0.5443690815453615,1.4185802022601652,2944.055211136629
15,75.88410186767578,80.1088842010498,0.7508008059606356,0.5515619253659729,2.0317952221597726,2842.032471478507
16,75.80974578857422,78.77569595336914,0.8912709881339093,0.5527176816664332,1.891902945874003,2878.662923874806
17,74.04630279541016,77.73677482604981,0.8597080546803942,0.5404313740751857,2.6622410102274454,2715.384436780864
18,73.03087615966797,76.2712476348877,0.8741144636275522,0.5042478760861782,1.6178515058772813,2410.081621944217
19,73.03087615966797,75.0244036102295,0.8957202490653425,0.5023994972340959,0.9679560933421075,2245.9674637531684
20,71.92279052734375,74.10605659484864,0.7863203821772627,0.522167205662615,0.951018860032054,2238.9764263968295
21,71.64952087402344,73.13573387145996,0.8093132451730013,0.5049876494765166,0.8383488843940375,2085.9635725830003
22,70.38899993896484,72.63959564208984,0.8077287498769854,0.48481463278255627,0.8718553265832364,1942.5581370124237
23,69.48954010009766,71.99549156188965,0.5803720556907518,0.5060985134901057,2.4642127310720445,1854.8768547520308
24,69.34280395507812,71.19294532775879,0.7536838682852168,0.49930953981017906,1.4924520928969782,1718.414826659943
25,68.0331802368164,70.18820472717285,0.8784490603785214,0.4917699101730756,0.7997991424631968,1641.8632626569902
26,68.02191925048828,69.4604955291748,0.8016126562625321,0.5013575006448986,1.0320094621848024,1646.6367234282995
27,67.29950714111328,68.785629196167,0.8711817413794045,0.4715294633898695,0.6912260080332578,1356.3901090108761
28,66.59659576416016,68.10839393615723,0.8575658806364845,0.46670075087674595,0.6817949672614865,1348.798374186615
29,65.99219512939453,67.58918739318848,0.8766446803915751,0.48765942541034135,0.6578202840609652,1357.1364710825894
30,65.520751953125,66.9935546875,0.7305021550314568,0.48902274215543523,1.1649923764064445,1388.7525129539672
31,64.40331268310547,66.38195243835449,0.8199396354713717,0.481536671351398,0.5048052948245954,1368.351353369368
32,64.24462127685547,65.87698806762695,0.8354502041965436,0.48194346904835494,0.6736456849323352,1281.5748161677325
33,63.33656311035156,65.22556434631348,0.839059966845136,0.472833860651401,0.6174251300984819,1180.704574905008
34,63.3229866027832,64.42623939514161,0.8406505765869862,0.4462576296017489,0.43749097667037856,1035.91507630227
35,62.9153938293457,63.99096412658692,0.7749898072064603,0.4331426153877951,0.5323240947125305,973.7058597402746
36,62.511417388916016,63.772455558776855,0.5157255180204131,0.4574709950252958,1.896394057762255,1125.9982030277406
37,61.982173919677734,63.21757991790771,0.8234504273258477,0.47482210290081067,0.47627731519485095,1061.2955895588607
38,61.86781311035156,63.08180328369141,0.5205094794786091,0.4634741493393184,1.7357240307104425,1047.6296005671538
39,61.16226577758789,62.57317462921142,0.7641829487432638,0.4620066538119275,0.4897314610205053,964.5567065345351
40,60.83121871948242,62.20334320068359,0.8590926895020256,0.4710708177407163,0.5059883849413017,994.6330972874395
41,60.457557678222656,61.853805503845216,0.3728391969855697,0.4673932294986422,3.6222009647266526,944.3402047255647
42,59.55708312988281,61.38478973388672,0.6498783480657935,0.4631660485410553,1.151580844707752,1011.3838213084099
43,59.55708312988281,60.912137031555176,0.6324004480532232,0.47811404043550376,0.6620468379255544,991.6401302685124
44,59.55708312988281,60.52898246765137,0.7411638581892032,0.4839190142959784,0.57741189798782,1122.9214511325663
45,59.08882141113281,60.40735591888428,0.22657152330267363,0.4461054628487981,3.8057160238243792,1047.2454732937827
46,58.7103271484375,59.88072074890137,0.6314511666081468,0.4523493902823259,0.6162898705754837,1019.4505362180497
47,58.52702713012695,59.589351119995115,0.5990849189848887,0.47415123367234546,1.2374834004661595,1024.530596296786
48,58.28322982788086,59.2208065032959,0.6473930634007576,0.47889941514197226,0.6001761297094345,976.0922423139807
49,57.72508239746094,58.927144851684574,0.780534540778063,0.4855220688180773,0.3212387297952722,904.3575323283916
50,57.43242263793945,58.93451637268066,0.5316829649331903,0.48343124217322886,2.1861121001484625,1013.6824739323658
51,57.167964935302734,58.532213287353514,0.6314300035254914,0.4900006885768576,1.4119021535247098,1080.0399691031007
52,56.77828598022461,58.30072017669678,0.5727768860357313,0.4935780082575979,2.4108190758085386,1237.8087119136583
53,56.575958251953125,57.928728103637695,0.7626393191986285,0.49786352868831424,0.8427906500665995,1384.4148986946236
54,56.03904724121094,57.708509330749514,0.650440271528181,0.5088495723687884,2.4782740890445583,1456.296507613
55,55.824424743652344,57.08248027801514,0.8779090470094559,0.5103952316955004,0.599196641803514,1308.9425018032257
56,55.5191650390625,56.60911586761475,0.7786265741178812,0.49768341492328155,0.46182976858726904,1233.4604135749223
57,55.11276626586914,56.493783721923826,0.5695805824845177,0.45562536401456344,2.192980393896089,1058.7416391421646
58,54.659786224365234,55.893087463378905,0.7777857323920986,0.45225156932930044,0.4679250639582402,965.4780557847542
59,54.574989318847656,55.70318229675293,0.6254907075112701,0.4617412969322056,1.253878117236012,990.8719472112554
60,54.126319885253906,55.47784969329834,0.5900991187145507,0.46459115452982835,1.6822637854680231,941.3760620582842
61,53.817386627197266,54.89501926422119,0.8490745042565055,0.47201065713062085,0.310690185678615,874.3979235973654
62,53.44557189941406,54.48479236602783,0.7271092581348768,0.47764284288503434,0.23341267978164104,862.9479943750708
63,53.44557189941406,54.1961527633667,0.755830156355424,0.47030541337678716,0.265574408881033,854.9060145421611
64,53.132755279541016,54.08287048339844,0.3887045856778281,0.4665929711495337,1.4173989276957581,840.6363402587398
65,53.083274841308594,53.93965984344482,0.5050686092700035,0.43446782803509143,1.082825590428458,776.2812267304043
66,52.525848388671875,53.76444980621338,0.5836601833086899,0.46145981568775085,0.9059270769477749,995.1573400485037
67,52.43170166015625,53.49563011169434,0.7855910444417685,0.48000166379626846,0.4775727604409388,1128.5239012914822
68,52.24964904785156,53.24618431091309,0.5218275877181882,0.48428999818846297,1.1438552910961504,1113.9150392907923
69,52.089439392089844,52.934758796691895,0.5083552659020162,0.47491976284008197,0.9981727013446201,1077.2977856327714
70,51.849876403808594,52.54483913421631,0.7394389150186418,0.46567993646594824,0.23223051313563917,972.9697876177984
71,51.68362045288086,52.37638134002685,0.4782391929359067,0.4589791636831245,0.7302646351427814,985.4935520928248
72,51.546443939208984,52.42122406005859,0.25916524655476153,0.47508050820416803,2.4978081534897556,992.4205692042004
73,51.400367736816406,52.140940551757815,0.43839320573902046,0.4715451194613911,1.0531709680074943,986.2587895182105
74,51.203453063964844,51.90737823486328,0.6467594497145589,0.47716516671484976,0.3165355885378434,982.5636777809952
75,50.662723541259766,51.964314498901366,0.5240163916790151,0.4854320260838667,1.6242277677239676,1008.1886608343884
76,50.585636138916016,51.600042572021486,0.5723917068401038,0.49182430745518635,0.7667017242653877,916.5330710867369
77,50.444862365722656,51.224953994750976,0.6464774338627137,0.4804762884107697,0.34578274235514117,754.9608263771295
78,50.19476318359375,51.068700294494626,0.6373686104829124,0.4650566137518282,0.6589765390610134,780.7440332119013
79,49.972267150878906,50.707580757141116,0.7302258206367136,0.47207065236413975,0.21069947618041623,597.0014851540373
80,49.85124206542969,50.59658168792725,0.5884312296930012,0.4662833932493407,0.4996019346231173,495.87087456143763
81,49.567413330078125,50.500066413879395,0.25223290236210083,0.4637034219220493,2.222076248068798,458.8788101072864
82,49.472049713134766,50.2480810546875,0.5145632187159456,0.46363593231419487,0.819490836131421,479.62348508620755
83,49.1382942199707,49.93039272308349,0.5611550933370402,0.47615955272747795,0.3668190248236802,374.34812301834523
